,DS,MV,proposed1(wcv)
0,0.7,0.96,0.96
0,0.7,0.88,0.87
0,0.7,0.86,0.87
0,0.7,0.87,0.9
0,0.7,0.84,0.89
0,0.7,0.8,0.8
0,0.7,0.76,0.82
0,0.7,0.82,0.82
0,0.7,0.68,0.79
0,0.7,0.74,0.77
0,0.7,0.76,0.81
0,0.77,0.74,0.75
0,0.7,0.72,0.73
0,0.7,0.71,0.7
0,0.7,0.69,0.72
0,0.3,0.58,0.71
0,0.79,0.63,0.73
0,0.7,0.59,0.7
0,0.7,0.62,0.75
0,0.7,0.55,0.64
0,0.3,0.55,0.3
0,0.7,0.47,0.55
0,0.3,0.54,0.49
0,0.3,0.4,0.34
0,0.3,0.42,0.3
0,0.7,0.52,0.68
0,0.3,0.42,0.3
0,0.3,0.38,0.48
0,0.7,0.41,0.56
0,0.71,0.45,0.45
0,0.3,0.33,0.3
0,0.3,0.44,0.3
0,0.27,0.29,0.2
0,0.3,0.33,0.29
0,0.29,0.32,0.33
0,0.3,0.31,0.24
0,0.3,0.3,0.27
0,0.3,0.25,0.25
0,0.3,0.24,0.24
0,0.3,0.21,0.17
0,0.3,0.18,0.16
0,0.3,0.25,0.23
0,0.3,0.2,0.2
0,0.3,0.18,0.2
0,0.3,0.15,0.15
0,0.3,0.1,0.1
0,0.3,0.08,0.14
0,0.29,0.07,0.04
0,0.3,0.11,0.15
0,0.3,0.1,0.08
0,0.59,0.15,0.15
