,DS,MV,proposed1(wcv)
0,0.63,0.93,0.93
0,0.6,0.95,0.95
0,0.6,0.87,0.89
0,0.6,0.79,0.79
0,0.6,0.83,0.86
0,0.6,0.79,0.81
0,0.6,0.85,0.81
0,0.61,0.86,0.86
0,0.6,0.81,0.81
0,0.6,0.69,0.76
0,0.6,0.7,0.71
0,0.4,0.72,0.73
0,0.6,0.78,0.71
0,0.6,0.73,0.6
0,0.6,0.74,0.74
0,0.4,0.64,0.68
0,0.6,0.61,0.63
0,0.6,0.58,0.68
0,0.6,0.7,0.67
0,0.6,0.62,0.6
0,0.4,0.5,0.4
0,0.4,0.52,0.54
0,0.4,0.45,0.42
0,0.6,0.62,0.59
0,0.4,0.55,0.55
0,0.6,0.42,0.6
0,0.4,0.43,0.43
0,0.4,0.46,0.4
0,0.4,0.39,0.39
0,0.4,0.44,0.44
0,0.6,0.45,0.47
0,0.4,0.45,0.42
0,0.4,0.33,0.33
0,0.4,0.38,0.38
0,0.4,0.3,0.28
0,0.4,0.28,0.28
0,0.39,0.27,0.3
0,0.4,0.25,0.25
0,0.4,0.25,0.3
0,0.4,0.2,0.23
0,0.4,0.27,0.3
0,0.4,0.19,0.18
0,0.4,0.18,0.18
0,0.4,0.17,0.17
0,0.4,0.15,0.14
0,0.4,0.16,0.2
0,0.4,0.13,0.16
0,0.4,0.12,0.13
0,0.4,0.13,0.18
0,0.4,0.1,0.11
0,0.4,0.03,0.05
