,DS,MV,proposed1(wcv)
0,0.77,0.96,0.96
0,0.79,0.97,0.99
0,0.67,0.96,0.99
0,0.69,0.88,0.88
0,0.95,0.94,0.98
0,0.88,0.91,0.99
0,0.63,0.85,0.95
0,0.97,0.92,0.99
0,0.86,0.89,0.95
0,0.82,0.87,0.98
0,0.8,0.82,0.84
0,0.92,0.86,0.97
0,0.92,0.8,0.96
0,0.69,0.81,0.82
0,0.88,0.7,0.96
0,0.9,0.73,0.98
0,0.8,0.69,0.67
0,0.86,0.68,0.6
0,0.89,0.63,0.65
0,0.9,0.68,0.69
0,0.86,0.66,0.67
0,0.92,0.63,0.66
0,0.92,0.66,0.66
0,0.84,0.61,0.61
0,0.95,0.51,0.53
0,0.18,0.51,0.52
0,0.91,0.52,0.52
0,0.33,0.4,0.4
0,0.04,0.5,0.49
0,0.06,0.46,0.46
0,0.02,0.33,0.41
0,0.08,0.37,0.37
0,0.07,0.28,0.25
0,0.28,0.29,0.29
0,0.05,0.28,0.07
0,0.33,0.26,0.26
0,0.27,0.34,0.33
0,0.08,0.19,0.01
0,0.16,0.16,0.06
0,0.03,0.11,0.01
0,0.05,0.12,0.01
0,0.12,0.19,0.02
0,0.06,0.12,0.02
0,0.4,0.09,0.06
0,0.19,0.12,0.11
0,0.05,0.09,0.06
0,0.06,0.05,0.06
0,0.1,0.01,0.03
0,0.13,0.01,0.0
0,0.1,0.02,0.02
0,0.14,0.02,0.02
