,DS,MV,proposed1(wcv)
0,0.67,0.97,0.95
0,0.96,1.0,1.0
0,0.65,0.96,0.98
0,0.99,1.0,0.99
0,0.94,0.94,0.98
0,0.91,0.93,0.96
0,0.94,0.83,0.94
0,0.55,0.87,0.97
0,0.8,0.86,0.94
0,0.94,0.93,0.94
0,0.94,0.84,0.98
0,0.97,0.82,0.97
0,0.93,0.81,0.81
0,0.94,0.75,0.94
0,0.87,0.68,0.69
0,0.94,0.8,0.8
0,0.96,0.76,0.76
0,0.85,0.69,0.69
0,0.85,0.74,0.75
0,0.87,0.6,0.6
0,0.97,0.56,0.57
0,0.86,0.54,0.51
0,0.94,0.56,0.56
0,0.97,0.55,0.55
0,0.94,0.59,0.5
0,0.96,0.51,0.5
0,0.64,0.51,0.52
0,0.5,0.5,0.5
0,0.04,0.47,0.46
0,0.85,0.46,0.46
0,0.07,0.39,0.4
0,0.08,0.33,0.35
0,0.06,0.33,0.48
0,0.16,0.37,0.38
0,0.18,0.24,0.25
0,0.06,0.29,0.31
0,0.01,0.27,0.27
0,0.06,0.24,0.01
0,0.25,0.25,0.25
0,0.07,0.2,0.03
0,0.03,0.2,0.05
0,0.1,0.18,0.07
0,0.11,0.18,0.2
0,0.09,0.12,0.06
0,0.23,0.12,0.04
0,0.08,0.09,0.03
0,0.04,0.06,0.01
0,0.03,0.04,0.03
0,0.11,0.05,0.06
0,0.13,0.05,0.05
0,0.5,0.03,0.03
