,DS,MV,proposed1(wcv)
0,0.72,0.91,0.94
0,0.71,0.84,0.9
0,0.73,0.92,0.97
0,0.7,0.83,0.95
0,0.7,0.82,0.91
0,0.7,0.78,0.8
0,0.7,0.86,0.93
0,0.71,0.82,0.94
0,0.74,0.79,0.86
0,0.72,0.79,0.89
0,0.72,0.73,0.83
0,0.7,0.65,0.92
0,0.7,0.74,0.74
0,0.7,0.66,0.65
0,0.7,0.66,0.77
0,0.78,0.61,0.69
0,0.7,0.62,0.7
0,0.7,0.59,0.71
0,0.55,0.64,0.63
0,0.3,0.53,0.63
0,0.71,0.48,0.7
0,0.31,0.49,0.32
0,0.69,0.5,0.58
0,0.75,0.49,0.5
0,0.7,0.44,0.58
0,0.3,0.36,0.3
0,0.3,0.47,0.35
0,0.24,0.43,0.41
0,0.3,0.39,0.33
0,0.33,0.39,0.39
0,0.28,0.41,0.27
0,0.27,0.41,0.29
0,0.27,0.33,0.3
0,0.3,0.3,0.26
0,0.3,0.3,0.23
0,0.24,0.36,0.36
0,0.29,0.29,0.23
0,0.29,0.27,0.26
0,0.29,0.19,0.19
0,0.28,0.18,0.17
0,0.29,0.18,0.12
0,0.3,0.14,0.14
0,0.3,0.14,0.05
0,0.3,0.26,0.2
0,0.3,0.13,0.05
0,0.3,0.11,0.09
0,0.3,0.12,0.1
0,0.3,0.14,0.11
0,0.29,0.07,0.07
0,0.29,0.06,0.06
0,0.29,0.02,0.02
