,DS,MV,proposed1(wcv)
0,0.93,0.96,0.98
0,0.96,0.97,0.99
0,0.98,0.95,0.98
0,0.97,0.96,1.0
0,0.91,0.94,0.98
0,0.92,0.91,0.97
0,0.92,0.93,0.96
0,0.93,0.91,0.97
0,0.89,0.94,0.97
0,0.85,0.91,0.96
0,0.93,0.9,0.96
0,0.94,0.88,0.99
0,0.92,0.85,0.97
0,0.91,0.86,0.98
0,0.94,0.85,1.0
0,0.97,0.91,0.96
0,0.95,0.81,0.98
0,0.89,0.81,0.94
0,0.95,0.81,0.97
0,0.94,0.76,0.93
0,0.86,0.78,0.92
0,0.91,0.84,0.97
0,0.92,0.83,0.94
0,0.94,0.77,0.96
0,0.95,0.86,0.96
0,0.89,0.79,0.95
0,0.92,0.8,0.98
0,0.89,0.75,0.96
0,0.94,0.77,0.96
0,0.9,0.67,0.96
0,0.94,0.65,0.95
0,0.92,0.73,0.98
0,0.94,0.73,0.98
0,0.95,0.75,0.97
0,0.92,0.53,0.98
0,0.94,0.58,0.66
0,0.94,0.72,0.97
0,0.93,0.67,0.99
0,0.91,0.64,0.98
0,0.94,0.52,0.95
0,0.96,0.49,0.96
0,0.96,0.56,1.0
0,0.9,0.49,0.89
0,0.96,0.63,0.97
0,0.03,0.46,0.68
0,0.89,0.43,0.96
0,0.93,0.51,0.96
0,0.94,0.49,0.24
0,0.96,0.43,0.8
0,0.05,0.4,0.01
0,0.13,0.38,0.25
0,0.05,0.25,0.03
0,0.03,0.41,0.98
0,0.1,0.37,0.03
0,0.1,0.34,0.03
0,0.06,0.38,0.03
0,0.05,0.39,0.09
0,0.08,0.36,0.11
0,0.14,0.31,0.03
0,0.15,0.33,0.1
0,0.08,0.28,0.04
0,0.06,0.38,0.03
0,0.12,0.21,0.07
0,0.1,0.25,0.04
0,0.07,0.25,0.04
0,0.1,0.16,0.04
0,0.09,0.26,0.02
0,0.13,0.29,0.03
0,0.03,0.26,0.0
0,0.06,0.23,0.04
0,0.04,0.2,0.01
0,0.11,0.17,0.02
0,0.04,0.22,0.04
0,0.06,0.14,0.04
0,0.06,0.18,0.01
0,0.15,0.23,0.06
0,0.1,0.11,0.01
0,0.16,0.1,0.03
0,0.04,0.09,0.02
0,0.07,0.09,0.03
0,0.05,0.11,0.0
0,0.06,0.08,0.05
0,0.11,0.08,0.02
0,0.06,0.08,0.01
0,0.08,0.12,0.03
0,0.03,0.08,0.03
0,0.05,0.09,0.03
0,0.13,0.07,0.03
0,0.08,0.08,0.02
0,0.14,0.06,0.04
0,0.1,0.06,0.04
0,0.05,0.05,0.01
0,0.12,0.07,0.01
0,0.02,0.08,0.03
0,0.11,0.03,0.01
0,0.02,0.07,0.04
0,0.06,0.02,0.01
0,0.07,0.03,0.02
0,0.07,0.02,0.01
0,0.08,0.02,0.02
0,0.11,0.0,0.02
