,DS,MV,proposed1(wcv)
0,0.7,0.93,0.98
0,0.81,0.89,0.97
0,0.76,0.91,0.94
0,0.75,0.91,0.95
0,0.75,0.89,0.97
0,0.7,0.77,0.81
0,0.79,0.85,0.92
0,0.71,0.86,0.95
0,0.72,0.73,0.95
0,0.71,0.81,0.93
0,0.79,0.79,0.97
0,0.7,0.81,0.87
0,0.8,0.68,0.91
0,0.71,0.6,0.89
0,0.78,0.72,0.88
0,0.74,0.65,0.86
0,0.74,0.63,0.88
0,0.74,0.54,0.85
0,0.71,0.53,0.73
0,0.74,0.66,0.93
0,0.72,0.6,0.7
0,0.72,0.6,0.91
0,0.72,0.58,0.78
0,0.12,0.48,0.56
0,0.77,0.55,0.67
0,0.23,0.42,0.3
0,0.8,0.48,0.62
0,0.17,0.41,0.44
0,0.22,0.4,0.26
0,0.23,0.4,0.3
0,0.3,0.39,0.3
0,0.24,0.36,0.69
0,0.14,0.27,0.36
0,0.29,0.27,0.26
0,0.29,0.23,0.07
0,0.28,0.3,0.09
0,0.3,0.18,0.13
0,0.12,0.14,0.03
0,0.28,0.18,0.06
0,0.26,0.17,0.06
0,0.27,0.1,0.04
0,0.28,0.22,0.19
0,0.2,0.15,0.08
0,0.28,0.08,0.02
0,0.26,0.09,0.03
0,0.29,0.09,0.09
0,0.25,0.12,0.1
0,0.3,0.1,0.06
0,0.29,0.03,0.04
0,0.3,0.07,0.07
0,0.28,0.02,0.02
