,DS,MV,proposed1(wcv)
0,0.86,0.95,0.9
0,0.74,0.92,0.93
0,0.87,0.97,0.96
0,0.77,0.88,0.97
0,0.74,0.86,0.93
0,0.96,0.88,0.96
0,0.62,0.82,0.87
0,0.83,0.82,0.9
0,0.83,0.8,0.85
0,0.86,0.8,0.93
0,0.89,0.85,0.88
0,0.92,0.79,0.92
0,0.9,0.79,0.91
0,0.51,0.75,0.75
0,0.74,0.71,0.71
0,0.74,0.67,0.72
0,0.77,0.73,0.73
0,0.89,0.66,0.69
0,0.77,0.69,0.65
0,0.9,0.66,0.66
0,0.69,0.7,0.7
0,0.86,0.59,0.57
0,0.27,0.61,0.63
0,0.87,0.57,0.53
0,0.94,0.57,0.55
0,0.85,0.53,0.5
0,0.65,0.51,0.5
0,0.34,0.4,0.47
0,0.31,0.36,0.44
0,0.13,0.43,0.5
0,0.1,0.44,0.44
0,0.09,0.41,0.4
0,0.44,0.28,0.28
0,0.32,0.39,0.39
0,0.32,0.34,0.32
0,0.28,0.28,0.3
0,0.35,0.23,0.27
0,0.17,0.31,0.31
0,0.1,0.31,0.17
0,0.42,0.17,0.25
0,0.16,0.13,0.11
0,0.22,0.17,0.12
0,0.16,0.26,0.27
0,0.09,0.15,0.08
0,0.16,0.16,0.04
0,0.23,0.12,0.04
0,0.38,0.05,0.05
0,0.16,0.05,0.02
0,0.14,0.08,0.06
0,0.08,0.07,0.06
0,0.26,0.04,0.05
